req,res
그래서 여러 개 사면 엄청 비싸더라고 ㅠ,헉 그렇구나./돈이 들어가는 게임이면 확실히 이것저것 사다보면 돈 많이 나가겠다. ㅜㅜ
게임 회사들도 먹고 살아야 하니까 그런 거겠지?,맞아 아무래도 무료로만 하게 되면 한계가 있을 테니까.../나도 예전에 캐릭터 예쁘게 꾸미고 싶어서 현금으로 조금씩 구매하고 했었던 게 기억나네 하하
내년 최저임금 확정됐다더라!,오 정말?/올해랑 차이가 좀 있어?
내년은 9160원이래!,와 그래도 9천 원대로 올라갔구나!/확실히 물가도 점점 올라가고 그래서... ㅠㅠ
참 이게 어려운 문제 같아,정말 그래. ㅜㅜ/사실 코로나 터지면서 자영업자들도 정말 너무 어려워져서 문제가 정말 심각해졌고...
맞아. 월급 받는 입장에서야 마냥 최저임금 오르고 월급 오르는 게 좋긴 한데... 각자 입장이 다르니까 ㅠ,진짜... 좀 경제적으로 균형이 잘 맞춰져야 할 텐데 그건 정말 어려운 부분인 거 같아.
영세 자영업자들이나 소기업은 그럴 수도 있다고 보는데 중견기업이나 대기업은 최저임금 올랐다고 뭐 채용을 줄이고 이런 건 아니지 않나 싶고...,그치 아무래도 자영업자나 소기업과는 차원이 다른 부분이니까 참 어렵긴 어렵다./경제도 그렇고 취업난도 그렇고 얼른 해결이 좀 돼야 될 텐데 말이야.
맞아. 진짜! 물가도 진짜... 계란 가격이 너무 올랐어 ㅋㅋ,헉 최근에 우리 집에서도 그 얘기했었는데 계란이랑 파프리카 가격이 너무 올랐다고 ㅋㅋ
흑흑 장난 아냐,와... 진짜 너무 올랐다 ㅜㅜ/계란은 자주 먹고 많이 요리해 먹는 음식인데 이렇게 올라버리면 어떡하나...
작년 말인가 AI 터져서 그 영향도 있다나 봐 ㅠㅠ,아이고 그렇구나... ㅜㅜ/물가도 얼른 좀 안정이 됐으면 좋겠다...
얼마 전에는 중국 침수 재난 있더니 ㅠ 지금은 또 그리스랑 터키 산불이 난리더라...,전세계적으로 정말 난리구나./이게 잠깐이 아니라 계속 국가적으로 문제가 생기니까 점점 걱정이 커져 ㅠㅠ
에휴 진짜 남일 같지 않네,아이고 그런 일이 있었구나./진짜 국가적 재난이 계속 이어지니까 다들 걱정이 크겠어./우리나라만 해도 자연 재해가 계속 생겨나잖아 유유
그리스는 관광으로 먹고 사는 나라라서 지금 경제 상황도 매우 안 좋지 않나 우우,맞아./그리스 파산했다고 뉴스 본 거 같은데 산불까지 났다니.../특히 관광이 경제로 이어지는 나라들은 정말 큰 위기네.
다른 유럽 국가들한테도 화재 진압 요청했대.,와 화재 진압 요청까지 할 정도면 진짜 엄청 심각한 건데.../불 같은 건 정말 너무 번지면 진압하기도 힘들고 날씨도 도와주지 않으면 꺼질 생각도 안 하는 거 같더라구... 우우
예전에 호주에도 산불 엄청 심각하게 나지 않았나.,건조하면 불 끄기가 진짜 쉽지 않겠어./맞아/호주도 산불 엄청 심각했었지!/그때 4개월 동안 진압이 안 됐었다고 본 거 같은데...
그때 코알라들 너무 불쌍했어 유유 사람들도 그렇지만...,맞아/코알라가 못 빠져나와서 크게 다쳐있다가 겨우 구조된 모습 뉴스로 봤었는데.../이런 재해는 사람뿐만 아니라 자연이나 동식물도 다 큰 피해를 보니까...
맞아 산 다 불에 타고 나면 환경에도 엄청 안 좋을 거고... 멀리 떨어진 나라들이지만 뭔가 마음이 안 좋다,맞아 불이 꺼지더라도 그 영향이 너무 커서 회복하는 시간도 정말 오래 걸릴 텐데...
다른 나라에서도 공동 진화 작업해 주고...,정말 같이 도와서 얼른 해결됐으면 좋겠어./그래야 모두에게 오는 피해가 끝날 테니까... ㅠㅠ
나 이번에 역세권으로 집 알아볼려고!,그래? 어디 역 근처로?
아직 정하지는 않았는데 그냥 역이랑 가까우면 돼!,근데 역이랑 가까우면 가격이 올라가잖아
맞아 그렇긴 한데 역 가까운거를 무시 못하겠더라,그렇긴 하지 근데 지금도 나름 역세권이잖아
맞아 그래서 더더욱 역세권 아닌 곳으로 못가겠어ㅠㅠ,역 근처에 집은 있고?
이제 슬슬 찾아봐야지,그래 좋은 곳 찾으면 알려줘
나 이번에 부산 가는데 기차 타고 가볼려고!,"그래? 누구랑 가?, 두명이서 가?"
응 두명이서 가는데 자가 말고 기차탈려고,기차면 ktx 탈려고?
응응 ktx 타면 두시간이면 가더라고,가깝긴 한데 부산가서 걸어서 다녀야 되잖아
맞아 근데 그냥 가까운곳은 걸어 다닐려고!,그래도 힘들지 않을까?
그래도 나름 좋은 추억이 되지 않을까?,맞아 좋은 추억은 될거같아
너는 아르바이트 시급 얼마야?,나 이번 지원한 곳은 9000원이야
오 그러면 최저시급 보다 높네?,응 맞아 여기 최저시급 보다 조금 높대
그러면 일이 더힘든가?,아직 안해봐서 모르겠는데 돈 더 많이 주는대는 이유가 있지 않을까?
그렇긴 하지 시급 더 주는대는 더 힘들거야ㅠㅠ,내가 해보고 힘들면 그만 두던가 해야지
그치 아직 안해봐서 해보고 알려줘,응 내가 일해보고 알려줄게!
군대는 보직이 많은가?,내가 군대를 안가봐서 모르겠는데...
아마 이것저것 많겠지?,그렇겠지 우리나라에 군인이 생각보다 많잖아
맞아 우리가 모르는 보직 이름도 많을거야,맞아 우리는 진짜 기본적인 행정직 보직 이런것만 알겠지?
응 맞아 ㅋㅋ 그래도 병장 상병 이런건 알아,그건 나도 알아
그 순서가 일병 이병 상병 병장인가?,아마 이병 일병 상병 병장 순일거야 ㅋㅋ
이번 성적 잘 나왔어?,아니 아직 안나왔는데...
오늘 시험이였다면서,맞아ㅠ 근데 아직 성적 안나와서 몰라
어때? 너는 잘봤어?ㅠㅠ,아니 망한거 같아ㅠㅠ
그러면 어떡해ㅠㅠ,어쩔수 없는거지 다음에 열심히해야지
맞아 행복은 성적순이 아니래ㅠㅠ,응 그렇게 위안해야지
나 이제 곧 기념일이야,진짜? 무슨 기념일?
이제 곧 1500일이야!,오 오래 만났네?
응 그러게 만나다 보니 이렇게 왔네,너희 남자친구가 잘해주잖아
맞아 그러니까 만나는거지 너도 잘해주잖아?,맞아 나도 그래서 만나는거야 그래서 기념일에 뭐해?
나 아직 안정했는데 레스토랑 갈거같아!,가서 맛있는거 많이 먹고와!
나 오늘 동물병원 갔다 왔어,응? 갑자기? 왜?
아는 지인이 강아지 키우는데 아프다 해서 같이 같다 왔어,이런ㅠ 강아지는 괜찮아?
응응 지금은 약먹고 조금 괜찮아졌대,그러면 괜찮아져서 다행이네ㅠㅠ
응 근데 동물병원에 사람 엄청 많더라,맞아 요즘 강아지 고양이 키우는 사람 많아서 그럴걸?
그런가봐 생각보다 사람 많아서 놀랐어,그래? 우리도 다음에 강아지 한마리 키우자
너 내일 등산간다며?,맞아 나 내일 등산갈려고!
등산 어디로 가는데?,그냥 가까운대로 가는데 지금 고민이야ㅠ
고민이 있어? 무슨 고민?,내일 열시에 일이 생겨서 그거 끝나면 열한시라서 너무 늦나하고ㅠㅠ
아 갑자기? 그럼 안갈려고?,그래서 지금 갈지 말지 고민인거야
그래도 11시정도면 갔다가 점심 먹기 딱 좋지 않을까?,그런가? 그럼 도전해야겠다
너 보드게임 중에 뭐 좋아해?,나 보드게임을 잘 안 좋아해 ㅠㅠ
그럼 보드게임 뭐해봤어?,나 보드게임 중에 루미큐브 해봤어.
아 나 그 보드게임 알아! 어때?,그거 머리쓰는 게임이던데!
응 맞아 숫자 놀이인데 은근히 어려워.,맞아 근데 나 은근히 그거 잘해.
정말? 다음에 한번 같이해볼래?,응 다음에 만나면 같이해보자.
일기예보 봤어?,아니 왜 비온대?
아니 비소식 알고 싶어서 너 봤나 물어봤지 ㅋㅋ,나 일기예보 잘안봐 지금봐줘?
응응 봐주면 고맙지 ㅋㅋ,언제 비오는지 알아야 되는데?
이번주 일요일 봐줄래?,이번주 일요일에 비안온대! 어디가?
그냥 바람쐬러 나갈려고!,비안오니까 재밌게 놀다와
너 제페토 알아?,제페토? 어디서 들어본 것 같은데
요즘 메타버스 대세잖아!,메타버스가 뭐야? 교통수단이야?
오마이갓! 메타버스를 모르다니,그게 뭔지 알려줘봐
음 쉽게 말하면 가상세계야,아 그런 쉬운말을 두고 왜...
아무튼 메타버스로 요즘은 마케팅도 하고 다 해,코로나 때문에 가상세계가 더 가까워 졌구나
체코랑 라트비아 다시 재봉쇄한다는데,아 맞아 코로나 다시 퍼졌다더만
그래서 상가 문 다 닫는대 다시,헐 우리나라는 이제 더 개방하고 있잖아
우리도 어느 순간 갑자기 저렇게 될지도,그래도 백신 접종 많이들 하니까
맞아 쟤네들은 접종률이 낮대,그거 영향도 있긴 하겠다
처음으로 다시 돌아가서 답답하겠다,진짜 걸릴까봐 무서울듯
나 요즘 옷을 너무 많이 사는 것 같아,맞아 언니 옷좀 그만사고 피부관리를 해
피부관리하는거 왜이렇게 귀찮냐,근데 피부가 좋아지면 뿌듯해지더라
너는 피부관리 어떻게 하는데?,나는 매일매일 마스크팩을 해줘
1일 1팩? 그거 진짜 귀찮지 않아?,나는 매일매일 마스크팩을 해줘
ㅠㅠ 마스크팩부터 사야겠다.,응 이거 진짜 효과 좋은 것 같아
나 요즘 눈이 떨려서 영양제 먹을려고 하는데 추천해줘ㅠㅠ,그거 눈 떨리는거 마그네슘 부족해서야!
그럼 마그네슘 들어간 영양제 먹어야돼?,응 마그네슘 성분 들어간거 찾고 비타민c먹어
알았어 말해줘서 고마워 ㅋㅋ,아니야 이제 우리도 영양제 챙겨먹어야지
넌 꾸준히 챙겨먹어?,아니 나 잘 안챙겨먹게돼ㅠㅠ
맞아 영양제 챙겨먹는것도 일이야ㅠ,그렇긴해 그래도 꾸준히 챙겨먹도록 노력하자
나 이번에 영화 봤는데 별점이 별로 안좋더라ㅠ,언니는 재밌게 봤어?
응 나는 재밌게 봤는데 별점이 별로였어ㅠㅠ,그래? 그러면 왜 안좋지?
아마 개인적으로 느끼는게 달라서 그런거 아닐까?,영화 같은건 그렇긴 하지 ㅠㅠ
난 재밌게 보고 왔는데 별점이 낮아서 좀 속상해ㅠ,맞아 난 재밌는데 다른 사람이 그러면 내가 이상한가 생각 들수도 있겠다
그래도 난 나름 재밌어서 다른 사람한테도 추천해줄려고,아그래? 그럼 나한테 알려줘 내가보고올게!
요즘 아파트 가격이 진짜 비싸더라,수도권이 더 심하지
응응 진짜 어떻게 해야 아파트에 살 수 있는거지?,일반 직장인 연봉으로는 어림도 없지ㅠㅠ
진짜 대출 아니면 꿈도 못꿀거야,응 일단 대출이라도 받아서 들어가봐
집값이 지금이 제일 비싼 시기인것 같아서 망설여져,그것도 걱정되긴 하겠다.
응응 일단 청약부터 도전해봐야겠어,그래 언니 청약부터 해봐
너 토익학원 언제 부터 등록할거야?,나 아마 12월? 왜?
아니 나 그 학원에 포인트 있어서 너 등록할려면 줄려고,오!나야 좋지!
근데 그거 양도 되는지 확인해봐야돼ㅠㅠ,그래? 그럼 내가 알아볼게
주면 고맙지 알아봤어?,응 알아봤는데 그거 양도 가능하대!
그러면 너 토익학원 등록할때 말해줘,응 나 등록할때 말해줄게!
나 이번 기념일에 뭐할지 고민중이야,언니는 기념일 챙겨?
아니 그렇게 막 선물 주고 받는건 아니고 놀러갈까 해서,그냥 맛있는 밥 먹으면 되는거아냐?
응응 그렇지? 맛있는 음식 먹어야지,근데 매일 맛있는거 먹잖아
그것도 그래. 이젠 딱히 기념일에 뭐 하고싶은지 생각도 안난다.,ㅋㅋ 오래되서 그런가보네
응 뭐 기념일도 아닌것 같아,어차피 기념일은 또 오니까 그런가봐
오늘 코스트코 갔는데 맛있게 생긴 과자가 있어서 보니까 강아지 간식이더라...,응? ㅋㅋ 강아지 간식이였어?
응 살려고 하니까 강아지 간식이여서 내려놨어,요즘 대형마트에서도 강아지 간식이 나오네?
응 강아지 쿠션 이런것도 팔더라,아 나 그거 본거같아!
쿠션이 괜찮아보여서 이거 괜찮다고 했는데 알고보니 강아지꺼였어...,요즘 강아지꺼 엄청 좋은거 많대
그러게... 사람꺼랑 구분이 잘안나 ㅋㅋ,그렇게 강아지가 반려동물이 되어가는 중인가봐
이번에 배구가 인기가 많아졌어,맞아 그거 아마 올림픽 덕분일걸?
그치 올림픽에서 김연경이 유명해져서 그런 거 같아,김연경이 배구의 한획을 그었지
맞아 너는 유명해지기 전부터 김연경 좋아했잖아,맞아 나는 김연경 좋아했어
그런 귀여운 허세도 능력이 되니까 다 받아주잖아,그렇지 능력 없이 그러면 아마 욕먹을걸?
맞아 김연경 실력도 엄청나잖아,여자배구 연봉 일위래!
넷마블이라는 회사 알아?,그럼 당연히 알지.
하긴 게임 하면 넷마블인데 모를 리가 없지.,거기에 야채부락리 했었는데 ㅋㅋ.
맞아 나도 그 게임 했었어.,아직도 있는지 모르겠네.
그러게 이따가 검색해봐야겠다.,넷마블에서 다른 게임도 유명했잖아.
모든 게임 유명했을걸?,맞아 ㅋㅋ 다음에 시간 맞으면 같이 게임 하자.
누리호 발사한 거 봤어?,안그래도 아까 출근하면서 봤어
우리나라는 아직 기술이 안되나보네,그러니까 생각보다 우주기술이 약하구나
나 항공관련주 샀는데,헐 뉴스 보니까 떨어졌다던데
어 한 6프로 떨어진 듯 망했어,야 다시 또 발사할 때까지 존버해야겠다
몇 년 뒤에 할지도 모르는데,그래도 기다리면 시기가 오겠지
중국에서 넷플릭스 못 보는 거 알지?,그렇다며 근데도 오징어게임이 열풍이래
나 오늘 기사봤는데 무슨 프로그램도 만들었대,어떤 프로그램 말하는거야?
오징어게임이랑 이름이 비슷한?,헐 그럼 표절한거야?
암튼 중국에서도 문제돼서 폐지 되긴했대,와 진짜 우리나라 컨텐츠 대박이다
그니까 그렇게까지나 열풍인줄은 몰랐어,나도. 괜히 좀 자랑스럽네
메이크업 샵에 가서 받으면 진짜 다르겠지?,그럴걸? 그래서 신부화장이 사기래잖아
맞아 신부화장한거 보면 다 예쁘더라,응 메이크업도 정말 중요한 것 같아
나도 한번 받아보고 싶다.,언니 결혼할 떄 받을거잖아
그건 그런데 지금 받아보고 싶어 ㅋㅋ,그럼 한번 받아봐 얼마 안할걸?
전문가의 손길은 다르겠지?,당연하지! 일단 샵에 가보자
기억에 남는 웹툰 있어?,나 얼마전에 본 웹툰은 여신강림
여신강림? 그거 재미있어?,재미있기도 하고 일단 그림체가 예뻐
"종다, 어떤 스토리인데?",여자주인공이 못생겼는데 화장으로 예뻐져서 성공하는 스토리인가봐
오 줄거리가 흥미로운데?,응응 봐봐 요즘 인기있는 웹툰이야
응 어디에서 보는데?,네이버웹툰! 완전 추천
오늘 자전거 타고 출근했어,자전거를 타고 출근 했다고?
응 처음으로 도전해봤어,와 어땠어? 출근해서 땀 범벅 아냐?
생각보다 땀은 많이 안나더라,아침부터 운동하고 좋겠네
응 따로 운동할 시간이 안나서,자전거 타면 교통 체증 없겠다
맞아 자전거 도로 한산해,나도 다음에 한번 도전해볼래
이번 기념일에 이벤트좀 해볼까?,그래? 어떤 이벤트?
아니 매번 받기만 해서 미안하니까 나도 좀 해보려고,기발한 아이디어는 있어?
아니 없어. ㅋㅋ 너한테 도움좀 받으려고,나도 이벤트 해본적 없어서 잘 모르는데 ㅋㅋ
아 그럼 인터넷으로 검색해봐야하나?,그러면 식상한 이벤트들만 나올걸?
ㅋㅋ 그냥 얘가 좋아하는거로 사줘야겠다.,그래 그게 제일 최고일거야.
자전거 안탄 지 너무 오래된 것 같아,언니 옛날에 자전거 주말마다 탔잖아
맞아ㅠㅠ 그땐 그게 진짜 타기 싫었는데,응 언니 그때 진짜 싫어했잖아
응 근데 요즘은 왜 그립나 몰라,ㅋㅋ 진짜 언니도 나이먹었나보다
그러게 오랜만에 자전거나 타러 가볼까,언니 자전거 있어?
아니 대여해주는 곳 많잖아 요즘,ㅋㅋ 그러니까 나도 자전거 타고 싶어진다.
너 닌텐도 갖고 있었나?,응 나 닌텐도 있지. 동물의 숲 하잖아.
오 너도 해봤구나?,응응 동물의 숲 하다 보면 중독되는 것 같아.
맞아 그 bgm이 마음을 편안하게 해주는 것 같대.,응응 뭔가 약간 힐링 게임 같아.
그래? 오 나도 한번 해봐야겠다.,응 이거 재밌어. 그리고 마리오 카트도 재밌어.
너 그것도 있어?,아니 친구가 빌려줘서 해봤는데 재밌더라고!
백신패스 도입 되면 좋겠다,나 백신 아직 안맞았는데?
너 화이자 맞은거 아니야?,아직 1차만 맞았어
나도 1차만 맞아서 아직 패스는 아니야,그래도 곧 맞으니까
그럼 자영업자들 좀 괜찮으려나,아무래도 그렇지 않을까
위드코로나가 필요한 시기야,나도 엄청 동감해
중국 헝다 이슈 알고있어?,자세히는 모르는데 듣긴 했어
걔네 땜에 미국 증시 엄청 떨어졌잖아,거기가 완전 큰 회사인가?
중국 대기업이지 완전,오늘 기사 보니까 또 위기라던데
매각한다고 그러지 않았어?,아는구나./그거 실패했다더라
아 할 뻔했는데 무산된건가?,어 그래서 중국 부동산 위기 올수도 있대
나 이번에 새로 산 아이섀도우 팔레트 진짜 예쁜 것 같아,오 뭔데? 발색 잘나와?
응응 진짜 대박이야 나랑 잘어울리는 색이 많아서!,언니는 붉은색 계열 좋아하잖아
응응 근데 나랑 진짜 찰떡이야,오~ 셀카 찍어서 보내줘
ㅋㅋ 내가 주말에 찍어서 보내줄게,응응 보고 예쁘면 나도 사야겠다.
이거 진짜 추천! 주말에 한번 써봐,오 그러면 되겠다! 응
너네 집쪽은 차 많이 안막혀?,많이 막혀 이상하게 차가 많아
출퇴근 시간에는 더 심하지,아니 왜 집 앞에만 오면 그렇게 막히는지
진짜야 차라리 지하철이 빠르다니까,지하철이 무조건 빠를걸?
차 가지고 다니면 안돼겠다,그래도 차타는 게 편하긴 해
그건 그래 시간은 걸려도,몸이 훨씬 편하니까 자꾸 타게 된다
후... 내 머리카락 정말 싫다,머리카락이 뭐가 어떤데?
곱슬이고 부시시하고 얇아,머리 묶어서 잘 몰랐어
부모님이 둘 다 곱슬이시거든,아 머리카락 유전이구나
응 그래도 탈모 유전자가 아니라 다행인가,우리 오빠는 탈모 올 것 같대
할아버지가 탈모셔?,응 그래서 관리 열심히 하라했어
나중에 신혼집은 몇 평이었으면 좋겠어?,ㅋㅋ 크면 좋지 않을까?
또 너무크면 청소하기 힘들지 않을까?,하긴 적당한게 좋은 것 같아.
나는 큰 드레스룸이 갖고싶어,언니 지금 집에 드레스룸 있잖아
여긴 너무 좁아ㅠㅠ 여기 이사오기 전엔 이게 제일 좋았는데,그러게 옷이 계속 늘어나니까 드레스룸이 작아지지?
응응 ㅠㅠ 더 큰 옷장이 필요해.,ㅋㅋ 나중에 신혼집은 큰 드레스룸 있는곳으로 가
아니 너 있지 않아?,응 나 있어 ㅋㅋ 그래 이번 주말에 갈까?
너 기초화장품으로 뭐써?,왜 언니 쓰던거 다썼어?
응 나는 매번 다른제품으로 시도하는데 잘 맞는게 뭔지 모르겠더라.,나는 쓰던거만 쓰는데 이거 좋아
오 그거 뭔데?,일단 토너패드로 닦아내고 바르면 더 좋더라구
맞아 닦토 얘기만 많이 들었던 것 같아,응 그리고 진짜 편해 슥 닦아내면 끝이야
오 근데 자극은 많이 없어?,응응 괜찮던데? 언니도 한번 써봐
오늘 노들길이 엄청 막히더라?,헐 대박 거기 원래 많이 막혀?
원래 적당히 막히는데 오늘은 너무 심했어,오늘 무슨 사고 났나?
아니 무슨 입구부터 차가 줄을 서있어,아하 그래서 지각한거구나
맞아 나 진짜 억울해,차는 진짜 복불복이야
맞아 날씨 영향도 많이 받고,그니까 나처럼 지하철을 애용하라고~!
너네 오빠 결혼했다 그랬나?,아니 아직 못했어
못한거야 아니면 안한거야?,당연히 못한거지/누가 해주겠냐
아 요즘에는 비혼 하는사람들도 많잖아,그냥 할 사람 없어서 못한거야
아 진짜 인기 없어?,옛날에 어릴 땐 많았는데 지금은 없을걸?
왜 그렇지 역시 나이가 깡팬가,그냥 돈 없어서 그런듯
나 이번 주말에 데이트 하러 가기로 했는데 어디갈까?,어디갈지는 안정했어?
응응 ㅠㅠ 어디 갈지는 안정했어.,요즘 날이 꽤 추우니까 실내쪽으로 알아봐
하긴 날이 추워서 밖은 감기걸리기 좋을 것 같다.,응응 실내스포츠는 어때?
괜찮은게 있나? 어떤거?,요즘 스포츠몬스터 인기있더라
아 나 거기 들어봤는데 재미있대?,응응 시간 대비 진짜 재미있대. 한번 다녀와봐
너는 반려동물 키운 적 있어?,나 진짜 단 한 번도 없어
우리집은 강아지 키우는데,완전 좋겠다/어느 종이야?
검정색 토이 푸들이야 3살,헐 진짜 귀엽겠다/나도 키우고싶어
너도 키워 진짜 좋아,우리 집은 부모님이 싫어하셔
어른들은 막상 데려오면 제일 좋아하실걸?,아냐 예전에 어릴때 개에 물린 적 있다 그랬어
하키선수들은 엄청 춥겠지?,그렇지 않을까? 아무래도 빙판위에 있으니까
그치 근데 하키선수들 보면 하나도 안추워보여,계속 뛰다보면 열이 나나봐
그렇지 에너지를 계속 태우니까,응응 하긴 그렇겠다. 하키도 재밌어보이더라
맞아 아마 평생 한번도 못해보겠지?,아마도 그렇지 않을까? ㅋㅋ
응 그냥 경기 보는 거로 만족해야지,그래 보는 것도 재미있어
올해 처음으로 내복 입었어,와 벌써 내복입을 날씨야?
저번주 주말부터 너무 추워,나도 내복 새로 사야겠다
어디서 살거야? 같이가줄까?,그냥 인터넷으로 구매하려구
1+1 행사할때 쟁여둬,내일도 기온이 되게 낮네
빨리 배송이 와야 입을텐데,그러게 오프라인으로 사야할까봐
향기도 좋고 촉촉한 헤어에센스 어디 없나?,헤어에센스 대부분 다 향기 좋던데?
그건 그런데 내스타일인 향을 아직 못찾았어.,올리브영 가보면 엄청 많잖아
종류가 너무 많으니까 못선택하겠더라.,그것도 그렇지. 그 중 제일 인기있는 것 부터 써봐
추천해줄만한 것 있어?,나는 헤어에센스를 잘 안써서ㅠㅠ 잘 모르겠어.
응 그럼 일단 인기있는것부터 사서 써봐야겠다.,응 잘팔리는데에는 다 이유가 있을거야
영화 보이스 봤어?,아 최근에 개봉한거 맞아?
응 얼마전에 봤는데 재밌더라,친구도 그거 봤대
친구는 그 영화 어땠대?,보이스피싱 교육 영상 이라더라
아 무슨 말인지 이해 간다,영화 자체는 신선했대
배우들 연기가 참 좋았어,나는 인터넷에 뜨면 봐야겠어
너 어디 살아?,나는 쭉 서울에 살았어
태어난 곳도 서울이야?,아니 나는 성인 되고부터 서울 올라왔어
혼자서 그럼 자취하는 거야?,응 나는 혼자 자취한지 꽤 됐지
그럼 몇년이나 산거야?,거의 9년정도 아니면 넘었나?
헐 되게 오래됐네,그냥 살다보니까 그렇게 됐어
교통정리 해주시는 분들 있잖아,아 막 봉 들고 신호 정리하는?
어 아침에 보면 되게 많이 있거든?,나도 봤어 큰 길에 보면 항상 있어
그 분들 경찰 아니래,아 진짜? 난 여태 경찰인줄
그치 다들 그렇게 알고있을걸?,암튼 근데 그게 은근히 도움이 돼
맞아 꼬리무는 것도 안하고,꼬리무는 거 진짜 답도없어
너 고향 자주 내려가?,아니 자주 못 내려가
고향이 많이 멀어?,응 버스타면 5시간 걸려
와 너무 멀긴 하다 진짜,비행기타면 1시간 정도 걸려
그래도 비행기는 비싸잖아,응 그래서 자주 못내려가
한번 갈 때 푹 쉬다 와야겠다,응 조만간 한번 다녀오려구
프로포즈는 남자만 하는건 아니잖아?,응 그렇긴 하지. 언니가 하게?
응 그래볼까 했지,오~ 계획은 있어?
이제부터 세워볼까 하고있어,ㅋㅋ 맞아 요즘에는 여자들도 한대
응응 검색좀 해봐야겠다.,응 언니 멋있다~ 프로포즈 할 생각도 하고
말로만 하고 안할수도 있다. ㅋㅋ,일단 찾아보기나 해 하하
요즘 개팔자가 상팔자야,나도 강아지로 태어나고 싶어
부잣집 강아지로 태어나고파,나보다 더 맛있는거 먹던데
맞아 좋은 옷 입고,일 안하고 집에 누워만 있잖아
다음 생엔 애완동물로 태어날래,부디 부자집 반려동물로 태어나길
와 상상만해도 행복하다!,버림받지않고 쭉 살았으면
이번 올림픽 때 양궁 진짜 멋있었지,맞아 나도 보면서 감동먹었어
응 그리고 올림픽 끝나고 다들 유명해진 것 같더라,맞아 캐릭터 하나씩 갖고 있는 것 같았어
나도 집사부일체 나온 거 보니까 진짜 재밌더라.,맞아맞아 그때의 감동이 다시 느껴지는 듯 하기도 했고
응응 나는 실내양궁장에서 한번 해봤는데 자꾸 천장으로 가더라고,언니가 조준을 잘못한 거 아니야?
아냐 나는 제대로 했는데 자꾸 위로 날라갔어. 근데 이게 힘이 없어서래,아 힘이 없어서 그대로를 유지 못하고 손이 올라가나보네?
한국은 사계절이 뚜렷해서 좋아,요즘엔 봄이랑 가을이 짧아지고 있잖아
맞아 그게 너무 아쉬워,나는 가을이 참 좋은데
나도 가을하늘 너무 맑고 좋아,벚꽃 피는 봄도 좋아
"봄도 너무 좋지, 황사만 아니면…",요즘은 미세먼지 때문에 봄도 반갑지 않네
그래서 가을을 더 선호하게 되나?,선선한 날씨에 소풍 가고 싶다
파마했더니 머리카락이 개털된것 같아ㅠㅠ,원래 미용실 한번 다녀오면 손상되는건 어쩔수 없어
맞아 그래서 관리를 해줘야하는거겠지?,응 그렇지 트리트먼트 꾸준히 해주고 헤어에센스 발라주고
맞아 나는 트리트먼트 매일 하는데 왜그럴까?,그거 트리트먼트 모발 끝쪽에만 바르고 잠시 방치해둬야한대
나도 나름 방치한 뒤에 헹구긴 하는데ㅠㅠ,그럼 트리트먼트를 바꿔봐. 요즘 좋은 제품 많이 나오더라
마침 이거 다 써가는데 좋은거 있나 찾아봐야겠다.,나 쓰는거 있는데 진짜 좋아. 언니 이거 한번 사봐
영화보고 싶다 영화관에서,요새 개봉한 거 볼 거 있나?
아니 그냥 아무거나 좋아,그냥 영화관이 가고싶은 거지?
그것도 그래 안간지 오래되가지구,맞아 영화관 분위기가 맛이 있지
아니 영화관 팝콘이 맛있지,그건 당연하지/카라멜 팝콘 먹고프다
요새는 관 안에서 취식도 못하잖아,그러니까 영화는 팝콘먹으려고 보는건데
나 청약통장 깰까 고민중이야,청약통장을? 아까워 깨지마
급하게 돈이 필요해서,대출이 왜 갑자기 필요한데?
집 앞에 상가건물 매물이 싸게 올라왔더라구,그래도 청약통장 깨기엔 아까운데
요즘 대출도 잘 안나와서 힘들어,청약통장을 보증으로 하는 대출 알아봐
어머나 그런게 있어?,응 통장은 깨지마 절대!
요즘 신차나오는 기간이 엄청 길대,차를 사고싶어도 못 사는거야?
응 예약을 걸어 놔야 한대,왜 이렇게 오래 걸린데?
차량 안에 들어가는 어떤 부품이 만들어 지는데 좀 오래 걸려서 그렇대,"아,, 신기하다. 차 빨리 갖고 싶은데 안나오면 슬프겠다"
맞아... 6개월은 기본으로 기다려야 하는것 같던데,"어휴, 돈이 있어도 바로 못 갖다니"
"그래서 요즘 중고차 값도 많이 올랐대,","대박이네,, 이럴 때 차를 팔아야 돈 많이 남기겠다."
회사 1층에 카페 알바생 봤어?,응 그 키 큰 알바생 말하는거지?
너무 잘생겼더라 번호 딸까?,같이 일하는 다른 알바랑 친해보이던데
알고보면 둘이 커플이려나,나중에 커피 시키면서 자연스레 물어봐
근데 괜히 까이면 민망하겠다,회사 건물이니까 자주 마주칠듯
그래 번호따는건 접어야겠어,가끔 구경하면서 눈호강이나 하자
나 동생이랑 방금 싸웠어,동생이랑? 왜 무슨일이야
동생이 내 옷 마음대로 입고 나가서,에이 자매끼리 좀 입을수도 있지
깨끗하게 안입는게 문제야,너가 너무 깔끔떠는거 아니야?
아니야 내가 아끼는 옷이라구,동생이 사과 안했어?
언니가 쪼잔하게 왜그러냐더라,어휴 잘 대화로 풀어봐
앵무새 키우고 싶다,엥 왜 갑자기 새가 키우고싶어?
그냥 내가 키우는 동물이 말할 수 있으면 좋겠어,너 진짜 취향이 특이하다
